"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.enso.microbenchmarks.BaseBenchmarks.alloc_full_tree","avgt",1,30,2.491321,0.055420,"ms/op"
"org.enso.microbenchmarks.BaseBenchmarks.alloc_list","avgt",1,30,254.008887,13.029932,"ms/op"
"org.enso.microbenchmarks.BaseBenchmarks.alloc_vector","avgt",1,30,88.962189,0.467679,"ms/op"
"org.enso.microbenchmarks.BaseBenchmarks.sum","avgt",1,30,4.045041,0.000693,"ms/op"
"org.enso.microbenchmarks.SumStructureBenchmarks.sum_list","avgt",1,30,7.266030,0.070526,"ms/op"
"org.enso.microbenchmarks.SumStructureBenchmarks.sum_tree","avgt",1,30,1.291624,0.012507,"ms/op"
"org.enso.microbenchmarks.SumStructureBenchmarks.sum_vector","avgt",1,30,6.482886,0.079613,"ms/op"
