language,benchmark,run_id,time
enso,sum,30,11.336
enso,sum,31,11.323
enso,sum,32,11.324
enso,sum,33,11.335
enso,sum,34,11.342
enso,sum,35,11.342
enso,sum,36,11.336
enso,sum,37,11.335
enso,sum,38,11.335
enso,sum,39,11.340
enso,sum,40,11.325
enso,sum,41,11.340
enso,sum,42,11.334
enso,sum,43,11.340
enso,sum,44,11.338
enso,sum,45,11.326
enso,sum,46,11.324
enso,sum,47,11.327
enso,sum,48,11.332
enso,sum,49,11.331
enso,alloc_vector,0,171.802
enso,alloc_vector,1,148.514
enso,alloc_vector,2,152.351
enso,alloc_vector,3,140.937
enso,alloc_vector,4,147.492
enso,alloc_vector,5,150.313
enso,alloc_vector,6,139.420
enso,alloc_vector,7,151.975
enso,alloc_vector,8,157.462
enso,alloc_vector,9,150.794
enso,alloc_vector,10,142.847
enso,alloc_vector,11,153.577
enso,alloc_vector,12,142.840
enso,alloc_vector,13,142.844
enso,alloc_vector,14,140.758
enso,alloc_vector,15,154.688
enso,alloc_vector,16,143.358
enso,alloc_vector,17,144.618
enso,alloc_vector,18,133.900
enso,alloc_vector,19,144.394
enso,alloc_vector,20,151.459
enso,alloc_vector,21,144.525
enso,alloc_vector,22,158.759
enso,alloc_vector,23,157.758
enso,alloc_vector,24,139.391
enso,alloc_vector,25,146.890
enso,alloc_vector,26,161.836
enso,alloc_vector,27,147.329
enso,alloc_vector,28,153.365
enso,alloc_vector,29,147.844
enso,alloc_vector,30,147.749
enso,alloc_vector,31,151.846
enso,alloc_vector,32,158.817
enso,alloc_vector,33,148.367
enso,alloc_vector,34,161.793
enso,alloc_vector,35,147.310
enso,alloc_vector,36,145.437
enso,alloc_vector,37,163.595
enso,alloc_vector,38,144.726
enso,alloc_vector,39,153.303
enso,alloc_vector,40,164.788
enso,alloc_vector,41,149.097
enso,alloc_vector,42,162.787
enso,alloc_vector,43,147.149
enso,alloc_vector,44,138.070
enso,alloc_vector,45,142.829
enso,alloc_vector,46,157.492
enso,alloc_vector,47,145.278
enso,alloc_vector,48,142.801
enso,alloc_vector,49,146.357
enso,sum_vector,0,45.715
enso,sum_vector,1,15.527
enso,sum_vector,2,15.259
enso,sum_vector,3,14.836
enso,sum_vector,4,15.010
enso,sum_vector,5,15.068
enso,sum_vector,6,15.103
enso,sum_vector,7,14.951
enso,sum_vector,8,15.128
enso,sum_vector,9,15.258
enso,sum_vector,10,15.068
enso,sum_vector,11,15.151
enso,sum_vector,12,15.324
enso,sum_vector,13,15.370
enso,sum_vector,14,15.195
enso,sum_vector,15,15.285
enso,sum_vector,16,15.429
enso,sum_vector,17,15.336
enso,sum_vector,18,15.261
enso,sum_vector,19,15.975
enso,sum_vector,20,15.613
enso,sum_vector,21,15.324
enso,sum_vector,22,15.285
enso,sum_vector,23,15.408
enso,sum_vector,24,15.563
enso,sum_vector,25,15.588
enso,sum_vector,26,15.620
enso,sum_vector,27,15.550
enso,sum_vector,28,15.597
enso,sum_vector,29,15.212
enso,sum_vector,30,15.169
enso,sum_vector,31,15.290
enso,sum_vector,32,15.303
enso,sum_vector,33,15.219
enso,sum_vector,34,15.245
enso,sum_vector,35,15.108
enso,sum_vector,36,15.332
enso,sum_vector,37,15.246
enso,sum_vector,38,15.316
enso,sum_vector,39,15.100
enso,sum_vector,40,15.112
enso,sum_vector,41,14.993
enso,sum_vector,42,15.204
enso,sum_vector,43,15.150
enso,sum_vector,44,15.089
enso,sum_vector,45,14.992
enso,sum_vector,46,15.099
enso,sum_vector,47,15.023
enso,sum_vector,48,15.021
enso,sum_vector,49,15.110
enso,alloc_list,0,156.565
enso,alloc_list,1,191.701
enso,alloc_list,2,188.319
enso,alloc_list,3,127.997
enso,alloc_list,4,149.965
enso,alloc_list,5,140.667
enso,alloc_list,6,142.498
enso,alloc_list,7,148.736
enso,alloc_list,8,168.804
enso,alloc_list,9,191.366
enso,alloc_list,10,205.949
enso,alloc_list,11,228.066
enso,alloc_list,12,130.414
enso,alloc_list,13,169.723
enso,alloc_list,14,137.436
enso,alloc_list,15,196.580
enso,alloc_list,16,147.393
enso,alloc_list,17,213.114
enso,alloc_list,18,193.523
enso,alloc_list,19,174.471
enso,alloc_list,20,156.134
enso,alloc_list,21,170.887
enso,alloc_list,22,149.246
enso,alloc_list,23,135.912
enso,alloc_list,24,148.250
enso,alloc_list,25,156.368
enso,alloc_list,26,165.259
enso,alloc_list,27,126.040
enso,alloc_list,28,131.931
enso,alloc_list,29,163.515
enso,alloc_list,30,153.440
enso,alloc_list,31,183.613
enso,alloc_list,32,245.699
enso,alloc_list,33,209.364
enso,alloc_list,34,206.341
enso,alloc_list,35,235.610
enso,alloc_list,36,165.609
enso,alloc_list,37,145.996
enso,alloc_list,38,214.272
enso,alloc_list,39,181.704
enso,alloc_list,40,248.400
enso,alloc_list,41,234.902
enso,alloc_list,42,199.713
enso,alloc_list,43,238.405
enso,alloc_list,44,170.281
enso,alloc_list,45,201.402
enso,alloc_list,46,218.829
enso,alloc_list,47,191.206
enso,alloc_list,48,220.874
enso,alloc_list,49,213.796
enso,sum_list,0,42.668
enso,sum_list,1,17.459
enso,sum_list,2,17.541
enso,sum_list,3,17.359
enso,sum_list,4,17.212
enso,sum_list,5,17.323
enso,sum_list,6,17.122
enso,sum_list,7,17.116
enso,sum_list,8,17.233
enso,sum_list,9,17.136
enso,sum_list,10,17.309
enso,sum_list,11,17.486
enso,sum_list,12,17.647
enso,sum_list,13,16.980
enso,sum_list,14,17.525
enso,sum_list,15,17.393
enso,sum_list,16,17.149
enso,sum_list,17,18.152
enso,sum_list,18,17.860
enso,sum_list,19,17.975
enso,sum_list,20,17.717
enso,sum_list,21,17.334
enso,sum_list,22,17.138
enso,sum_list,23,17.213
enso,sum_list,24,17.027
enso,sum_list,25,16.971
enso,sum_list,26,17.005
enso,sum_list,27,17.110
enso,sum_list,28,16.962
enso,sum_list,29,17.075
enso,sum_list,30,16.962
enso,sum_list,31,17.225
enso,sum_list,32,18.090
enso,sum_list,33,17.944
enso,sum_list,34,17.299
enso,sum_list,35,16.997
enso,sum_list,36,16.838
enso,sum_list,37,16.915
enso,sum_list,38,17.000
enso,sum_list,39,17.163
enso,sum_list,40,17.036
enso,sum_list,41,17.164
enso,sum_list,42,17.088
enso,sum_list,43,17.112
enso,sum_list,44,17.003
enso,sum_list,45,17.038
enso,sum_list,46,17.025
enso,sum_list,47,17.046
enso,sum_list,48,17.165
enso,sum_list,49,17.201
enso,alloc_full_tree,0,63.353
enso,alloc_full_tree,1,11.055
enso,alloc_full_tree,2,13.065
enso,alloc_full_tree,3,12.102
enso,alloc_full_tree,4,12.779
enso,alloc_full_tree,5,12.619
enso,alloc_full_tree,6,11.715
enso,alloc_full_tree,7,12.580
enso,alloc_full_tree,8,11.409
enso,alloc_full_tree,9,10.825
enso,alloc_full_tree,10,10.148
enso,alloc_full_tree,11,13.228
enso,alloc_full_tree,12,11.663
enso,alloc_full_tree,13,11.649
enso,alloc_full_tree,14,12.979
enso,alloc_full_tree,15,11.485
enso,alloc_full_tree,16,11.662
enso,alloc_full_tree,17,11.684
enso,alloc_full_tree,18,11.576
enso,alloc_full_tree,19,14.259
enso,alloc_full_tree,20,14.946
enso,alloc_full_tree,21,13.465
enso,alloc_full_tree,22,16.116
enso,alloc_full_tree,23,14.780
enso,alloc_full_tree,24,12.525
enso,alloc_full_tree,25,11.528
enso,alloc_full_tree,26,11.593
enso,alloc_full_tree,27,11.640
enso,alloc_full_tree,28,11.569
enso,alloc_full_tree,29,11.557
enso,alloc_full_tree,30,11.609
enso,alloc_full_tree,31,11.605
enso,alloc_full_tree,32,11.605
enso,alloc_full_tree,33,11.748
enso,alloc_full_tree,34,11.556
enso,alloc_full_tree,35,11.577
enso,alloc_full_tree,36,11.629
enso,alloc_full_tree,37,13.771
enso,alloc_full_tree,38,11.643
enso,alloc_full_tree,39,12.490
enso,alloc_full_tree,40,11.674
enso,alloc_full_tree,41,11.649
enso,alloc_full_tree,42,11.691
enso,alloc_full_tree,43,11.772
enso,alloc_full_tree,44,11.592
enso,alloc_full_tree,45,11.686
enso,alloc_full_tree,46,11.576
enso,alloc_full_tree,47,11.630
enso,alloc_full_tree,48,11.651
enso,alloc_full_tree,49,13.216
enso,sum_tree,0,137.834
enso,sum_tree,1,5.112
enso,sum_tree,2,4.121
enso,sum_tree,3,4.206
enso,sum_tree,4,4.017
enso,sum_tree,5,4.054
enso,sum_tree,6,5.351
enso,sum_tree,7,4.468
enso,sum_tree,8,4.534
enso,sum_tree,9,4.011
enso,sum_tree,10,4.421
enso,sum_tree,11,6.911
enso,sum_tree,12,7.488
enso,sum_tree,13,7.562
enso,sum_tree,14,7.262
enso,sum_tree,15,6.779
enso,sum_tree,16,7.543
enso,sum_tree,17,7.186
enso,sum_tree,18,7.759
enso,sum_tree,19,7.376
enso,sum_tree,20,8.545
enso,sum_tree,21,6.040
enso,sum_tree,22,5.108
enso,sum_tree,23,6.040
enso,sum_tree,24,5.789
enso,sum_tree,25,5.217
enso,sum_tree,26,5.398
enso,sum_tree,27,6.135
enso,sum_tree,28,5.720
enso,sum_tree,29,6.240
enso,sum_tree,30,5.096
enso,sum_tree,31,4.648
enso,sum_tree,32,4.513
enso,sum_tree,33,4.324
enso,sum_tree,34,5.307
enso,sum_tree,35,4.368
enso,sum_tree,36,3.989
enso,sum_tree,37,4.413
enso,sum_tree,38,4.400
enso,sum_tree,39,4.118
enso,sum_tree,40,4.285
enso,sum_tree,41,5.919
enso,sum_tree,42,4.842
enso,sum_tree,43,4.452
enso,sum_tree,44,5.755
enso,sum_tree,45,5.692
enso,sum_tree,46,4.478
enso,sum_tree,47,4.768
enso,sum_tree,48,4.222
enso,sum_tree,49,4.782
