language,benchmark,run_id,time
enso,alloc_vector,28,72.219
enso,alloc_vector,29,73.493
enso,alloc_vector,30,75.301
enso,alloc_vector,31,74.865
enso,alloc_vector,32,75.183
enso,alloc_vector,33,74.947
enso,alloc_vector,34,74.609
enso,alloc_vector,35,68.571
enso,alloc_vector,36,72.589
enso,alloc_vector,37,73.125
enso,alloc_vector,38,75.388
enso,alloc_vector,39,74.908
enso,alloc_vector,40,76.226
enso,alloc_vector,41,76.395
enso,alloc_vector,42,76.191
enso,alloc_vector,43,72.588
enso,alloc_vector,44,74.867
enso,alloc_vector,45,73.739
enso,alloc_vector,46,75.163
enso,alloc_vector,47,69.837
enso,alloc_vector,48,68.385
enso,alloc_vector,49,68.831
enso,sum_vector,0,33.745
enso,sum_vector,1,12.604
enso,sum_vector,2,12.621
enso,sum_vector,3,12.611
enso,sum_vector,4,12.532
enso,sum_vector,5,12.663
enso,sum_vector,6,12.664
enso,sum_vector,7,12.583
enso,sum_vector,8,12.440
enso,sum_vector,9,12.533
enso,sum_vector,10,12.535
enso,sum_vector,11,12.552
enso,sum_vector,12,12.877
enso,sum_vector,13,12.533
enso,sum_vector,14,12.548
enso,sum_vector,15,12.517
enso,sum_vector,16,12.613
enso,sum_vector,17,12.629
enso,sum_vector,18,12.755
enso,sum_vector,19,12.719
enso,sum_vector,20,13.015
enso,sum_vector,21,12.445
enso,sum_vector,22,12.427
enso,sum_vector,23,12.635
enso,sum_vector,24,12.618
enso,sum_vector,25,12.522
enso,sum_vector,26,12.528
enso,sum_vector,27,12.544
enso,sum_vector,28,12.597
enso,sum_vector,29,12.508
enso,sum_vector,30,12.592
enso,sum_vector,31,12.659
enso,sum_vector,32,12.674
enso,sum_vector,33,12.598
enso,sum_vector,34,12.643
enso,sum_vector,35,12.662
enso,sum_vector,36,12.562
enso,sum_vector,37,12.650
enso,sum_vector,38,12.602
enso,sum_vector,39,12.589
enso,sum_vector,40,12.511
enso,sum_vector,41,12.592
enso,sum_vector,42,12.630
enso,sum_vector,43,12.581
enso,sum_vector,44,12.612
enso,sum_vector,45,12.694
enso,sum_vector,46,12.574
enso,sum_vector,47,12.469
enso,sum_vector,48,12.576
enso,sum_vector,49,12.399
enso,alloc_list,0,176.582
enso,alloc_list,1,139.719
enso,alloc_list,2,166.434
enso,alloc_list,3,170.388
enso,alloc_list,4,165.199
enso,alloc_list,5,158.188
enso,alloc_list,6,131.245
enso,alloc_list,7,148.551
enso,alloc_list,8,132.706
enso,alloc_list,9,156.179
enso,alloc_list,10,146.701
enso,alloc_list,11,137.299
enso,alloc_list,12,126.770
enso,alloc_list,13,115.633
enso,alloc_list,14,138.777
enso,alloc_list,15,155.864
enso,alloc_list,16,120.124
enso,alloc_list,17,171.678
enso,alloc_list,18,165.482
enso,alloc_list,19,175.635
enso,alloc_list,20,100.044
enso,alloc_list,21,121.183
enso,alloc_list,22,178.933
enso,alloc_list,23,153.121
enso,alloc_list,24,162.927
enso,alloc_list,25,159.689
enso,alloc_list,26,157.298
enso,alloc_list,27,175.196
enso,alloc_list,28,153.147
enso,alloc_list,29,154.099
enso,alloc_list,30,131.155
enso,alloc_list,31,127.535
enso,alloc_list,32,145.767
enso,alloc_list,33,167.256
enso,alloc_list,34,138.000
enso,alloc_list,35,155.138
enso,alloc_list,36,142.992
enso,alloc_list,37,137.022
enso,alloc_list,38,101.032
enso,alloc_list,39,132.224
enso,alloc_list,40,139.201
enso,alloc_list,41,146.650
enso,alloc_list,42,143.130
enso,alloc_list,43,142.115
enso,alloc_list,44,145.538
enso,alloc_list,45,163.542
enso,alloc_list,46,158.503
